model,threshold,raw_threshold,precision,recall,f1_score,false_positive_rate,false_negative_rate,tp,fp,fn,tn
Gateway-Tier (Reconstruction MSE),0.16838383838383839,31769.336608566664,0.782608695652174,0.031413612565445025,0.06040268448955565,0.006188118811881188,0.9685863874345549,36,10,1110,1606
Gateway-Tier (Reconstruction MSE),0.1782828282828283,33637.00006810274,0.782608695652174,0.031413612565445025,0.06040268448955565,0.006188118811881188,0.9685863874345549,36,10,1110,1606
Gateway-Tier (Reconstruction MSE),0.18818181818181817,35504.663527638804,0.7777777777777778,0.030541012216404886,0.0587741393059618,0.006188118811881188,0.9694589877835951,35,10,1111,1606
Gateway-Tier (Reconstruction MSE),0.19808080808080808,37372.32698717487,0.7954545454545454,0.030541012216404886,0.058823529340549394,0.005569306930693069,0.9694589877835951,35,9,1111,1607
Gateway-Tier (Reconstruction MSE),0.207979797979798,39239.990446710945,0.7954545454545454,0.030541012216404886,0.058823529340549394,0.005569306930693069,0.9694589877835951,35,9,1111,1607
Gateway-Tier (Reconstruction MSE),0.21787878787878787,41107.65390624701,0.7954545454545454,0.030541012216404886,0.058823529340549394,0.005569306930693069,0.9694589877835951,35,9,1111,1607
Gateway-Tier (Reconstruction MSE),0.22777777777777777,42975.317365783085,0.813953488372093,0.030541012216404886,0.05887300245341478,0.0049504950495049506,0.9694589877835951,35,8,1111,1608
Gateway-Tier (Reconstruction MSE),0.23767676767676768,44842.98082531915,0.8095238095238095,0.029668411867364748,0.057239057170849914,0.0049504950495049506,0.9703315881326352,34,8,1112,1608
Gateway-Tier (Reconstruction MSE),0.24757575757575756,46710.64428485522,0.825,0.028795811518324606,0.05564924108153301,0.004331683168316832,0.9712041884816754,33,7,1113,1609
Gateway-Tier (Reconstruction MSE),0.25747474747474747,48578.30774439129,0.825,0.028795811518324606,0.05564924108153301,0.004331683168316832,0.9712041884816754,33,7,1113,1609
Gateway-Tier (Reconstruction MSE),0.2673737373737374,50445.971203927365,0.825,0.028795811518324606,0.05564924108153301,0.004331683168316832,0.9712041884816754,33,7,1113,1609
Gateway-Tier (Reconstruction MSE),0.2772727272727273,52313.63466346344,0.825,0.028795811518324606,0.05564924108153301,0.004331683168316832,0.9712041884816754,33,7,1113,1609
Gateway-Tier (Reconstruction MSE),0.2871717171717172,54181.298122999506,0.825,0.028795811518324606,0.05564924108153301,0.004331683168316832,0.9712041884816754,33,7,1113,1609
Gateway-Tier (Reconstruction MSE),0.29707070707070704,56048.96158253557,0.8461538461538461,0.028795811518324606,0.055696202467989106,0.0037128712871287127,0.9712041884816754,33,6,1113,1610
Gateway-Tier (Reconstruction MSE),0.30696969696969695,57916.62504207164,0.8648648648648649,0.027923211169284468,0.054099746346842316,0.003094059405940594,0.9720767888307156,32,5,1114,1611
Gateway-Tier (Reconstruction MSE),0.31686868686868686,59784.28850160771,0.8611111111111112,0.027050610820244327,0.052453468638065055,0.003094059405940594,0.9729493891797557,31,5,1115,1611
Gateway-Tier (Reconstruction MSE),0.32676767676767676,61651.951961143786,0.8611111111111112,0.027050610820244327,0.052453468638065055,0.003094059405940594,0.9729493891797557,31,5,1115,1611
Gateway-Tier (Reconstruction MSE),0.33666666666666667,63519.61542067986,0.8611111111111112,0.027050610820244327,0.052453468638065055,0.003094059405940594,0.9729493891797557,31,5,1115,1611
Gateway-Tier (Reconstruction MSE),0.3465656565656566,65387.27888021593,0.8611111111111112,0.027050610820244327,0.052453468638065055,0.003094059405940594,0.9729493891797557,31,5,1115,1611
Gateway-Tier (Reconstruction MSE),0.3564646464646465,67254.942339752,0.8857142857142857,0.027050610820244327,0.05249788309235776,0.0024752475247524753,0.9729493891797557,31,4,1115,1612
Gateway-Tier (Reconstruction MSE),0.36636363636363634,69122.60579928805,0.8857142857142857,0.027050610820244327,0.05249788309235776,0.0024752475247524753,0.9729493891797557,31,4,1115,1612
Gateway-Tier (Reconstruction MSE),0.37626262626262624,70990.26925882413,0.9090909090909091,0.02617801047120419,0.0508905851873175,0.0018564356435643563,0.9738219895287958,30,3,1116,1613
Gateway-Tier (Reconstruction MSE),0.38616161616161615,72857.9327183602,0.9090909090909091,0.02617801047120419,0.0508905851873175,0.0018564356435643563,0.9738219895287958,30,3,1116,1613
Gateway-Tier (Reconstruction MSE),0.39606060606060606,74725.59617789627,0.9090909090909091,0.02617801047120419,0.0508905851873175,0.0018564356435643563,0.9738219895287958,30,3,1116,1613
Gateway-Tier (Reconstruction MSE),0.40595959595959596,76593.25963743235,0.9032258064516129,0.02443280977312391,0.047578589583375505,0.0018564356435643563,0.9755671902268761,28,3,1118,1613
Gateway-Tier (Reconstruction MSE),0.41585858585858587,78460.92309696841,0.9032258064516129,0.02443280977312391,0.047578589583375505,0.0018564356435643563,0.9755671902268761,28,3,1118,1613
Gateway-Tier (Reconstruction MSE),0.4257575757575757,80328.58655650448,0.9,0.02356020942408377,0.04591836729721991,0.0018564356435643563,0.9764397905759162,27,3,1119,1613
Gateway-Tier (Reconstruction MSE),0.43565656565656563,82196.25001604055,0.9,0.02356020942408377,0.04591836729721991,0.0018564356435643563,0.9764397905759162,27,3,1119,1613
Gateway-Tier (Reconstruction MSE),0.44555555555555554,84063.91347557661,0.896551724137931,0.02268760907504363,0.04425531910079276,0.0018564356435643563,0.9773123909249564,26,3,1120,1613
Gateway-Tier (Reconstruction MSE),0.45545454545454545,85931.5769351127,0.9285714285714286,0.02268760907504363,0.0442930152856351,0.0012376237623762376,0.9773123909249564,26,2,1120,1614
Gateway-Tier (Reconstruction MSE),0.46535353535353535,87799.24039464876,0.9285714285714286,0.02268760907504363,0.0442930152856351,0.0012376237623762376,0.9773123909249564,26,2,1120,1614
Gateway-Tier (Reconstruction MSE),0.47525252525252526,89666.90385418483,0.9285714285714286,0.02268760907504363,0.0442930152856351,0.0012376237623762376,0.9773123909249564,26,2,1120,1614
Gateway-Tier (Reconstruction MSE),0.4851515151515151,91534.5673137209,0.9259259259259259,0.02181500872600349,0.04262574590557798,0.0012376237623762376,0.9781849912739965,25,2,1121,1614
Gateway-Tier (Reconstruction MSE),0.495050505050505,93402.23077325696,0.9230769230769231,0.020942408376963352,0.040955631355933095,0.0012376237623762376,0.9790575916230366,24,2,1122,1614
Gateway-Tier (Reconstruction MSE),0.5049494949494949,95269.89423279304,0.92,0.02006980802792321,0.03928266434762379,0.0012376237623762376,0.9799301919720768,23,2,1123,1614
Gateway-Tier (Reconstruction MSE),0.5148484848484849,97137.55769232912,0.9583333333333334,0.02006980802792321,0.03931623927605522,0.0006188118811881188,0.9799301919720768,23,1,1123,1615
Gateway-Tier (Reconstruction MSE),0.5247474747474747,99005.22115186519,0.9565217391304348,0.019197207678883072,0.03763900766031228,0.0006188118811881188,0.9808027923211169,22,1,1124,1615
Gateway-Tier (Reconstruction MSE),0.5346464646464646,100872.88461140124,0.9565217391304348,0.019197207678883072,0.03763900766031228,0.0006188118811881188,0.9808027923211169,22,1,1124,1615
Gateway-Tier (Reconstruction MSE),0.5445454545454546,102740.54807093732,0.9545454545454546,0.01832460732984293,0.03595890407262736,0.0006188118811881188,0.981675392670157,21,1,1125,1615
Gateway-Tier (Reconstruction MSE),0.5544444444444444,104608.21153047339,0.9545454545454546,0.01832460732984293,0.03595890407262736,0.0006188118811881188,0.981675392670157,21,1,1125,1615
Gateway-Tier (Reconstruction MSE),0.5643434343434344,106475.87499000947,0.9523809523809523,0.017452006980802792,0.03427592113003924,0.0006188118811881188,0.9825479930191972,20,1,1126,1615
Gateway-Tier (Reconstruction MSE),0.5742424242424242,108343.53844954554,0.9473684210526315,0.015706806282722512,0.030901287521562012,0.0006188118811881188,0.9842931937172775,18,1,1128,1615
Gateway-Tier (Reconstruction MSE),0.5841414141414141,110211.20190908159,0.9444444444444444,0.014834205933682374,0.02920962196267758,0.0006188118811881188,0.9851657940663177,17,1,1129,1615
Gateway-Tier (Reconstruction MSE),0.594040404040404,112078.86536861767,0.9411764705882353,0.013961605584642234,0.027515047262680132,0.0006188118811881188,0.9860383944153578,16,1,1130,1615
Gateway-Tier (Reconstruction MSE),0.6039393939393939,113946.52882815374,1.0,0.012216404886561954,0.024137931010636143,0.0,0.987783595113438,14,0,1132,1616
Gateway-Tier (Reconstruction MSE),0.6138383838383838,115814.19228768982,1.0,0.012216404886561954,0.024137931010636143,0.0,0.987783595113438,14,0,1132,1616
Gateway-Tier (Reconstruction MSE),0.6237373737373737,117681.85574722588,1.0,0.012216404886561954,0.024137931010636143,0.0,0.987783595113438,14,0,1132,1616
Gateway-Tier (Reconstruction MSE),0.6336363636363637,119549.51920676196,1.0,0.012216404886561954,0.024137931010636143,0.0,0.987783595113438,14,0,1132,1616
Gateway-Tier (Reconstruction MSE),0.6435353535353535,121417.18266629802,1.0,0.012216404886561954,0.024137931010636143,0.0,0.987783595113438,14,0,1132,1616
Gateway-Tier (Reconstruction MSE),0.6534343434343434,123284.84612583408,1.0,0.012216404886561954,0.024137931010636143,0.0,0.987783595113438,14,0,1132,1616
Gateway-Tier (Reconstruction MSE),0.6633333333333333,125152.50958537016,1.0,0.011343804537521814,0.02243313198817224,0.0,0.9886561954624782,13,0,1133,1616
Gateway-Tier (Reconstruction MSE),0.6732323232323232,127020.17304490623,1.0,0.011343804537521814,0.02243313198817224,0.0,0.9886561954624782,13,0,1133,1616
Gateway-Tier (Reconstruction MSE),0.6831313131313131,128887.83650444231,1.0,0.011343804537521814,0.02243313198817224,0.0,0.9886561954624782,13,0,1133,1616
Gateway-Tier (Reconstruction MSE),0.693030303030303,130755.49996397838,1.0,0.011343804537521814,0.02243313198817224,0.0,0.9886561954624782,13,0,1133,1616
Gateway-Tier (Reconstruction MSE),0.702929292929293,132623.16342351446,1.0,0.010471204188481676,0.020725388580525653,0.0,0.9895287958115183,12,0,1134,1616
